FID,API,API10,CompanyNam,County,Latitude,Longitude,Owner,OwnerName2,PermitDate,Township,WellName,WellNumber,WellStatus,meta_sourc,AltName_20,CompanyN_1,Vol_InDist,Vol_OutDis,AltName_21,CompanyN_2,Vol_InDi_1,Vol_OutD_1,AltName_22,CompanyN_3,Vol_InDi_2,Vol_OutD_2,AltName_23,CompanyN_4,Vol_InDi_3,Vol_OutD_3,AltName_24,CompanyN_5,Vol_InDi_4,Vol_OutD_4,AltName_25,CompanyN_6,Vol_InDi_5,Vol_OutD_5,AltName_26,CompanyN_7,Vol_InDi_6,Vol_OutD_6,AltName_27,CompanyN_8,Vol_InDi_7,Vol_OutD_7,AltName_28,CompanyN_9,Vol_InDi_8,Vol_OutD_8,AltName_29,Company_10,Vol_InDi_9,Vol_OutD_9,AltName_30,Company_11,Vol_InD_10,Vol_Out_10,AltName_31,Company_12,Vol_InD_11,Vol_Out_11,AltName_32,Company_13,Vol_InD_12,Vol_Out_12,AltName_33,Company_14,Vol_InD_13,Vol_Out_13,AltName_34,Company_15,Vol_InD_14,Vol_Out_14,AltName_35,Company_16,Vol_InD_15,Vol_Out_15,AltName_36,Company_17,Vol_InD_16,Vol_Out_16,AltName_37,Company_18,Vol_InD_17,Vol_Out_17,AltName_38,Company_19,Vol_InD_18,Vol_Out_18,AltName_39,Company_20,Vol_InD_19,Vol_Out_19,AltName_40,Company_21,Vol_InD_20,Vol_Out_20,AltName_41,Company_22,Vol_InD_21,Vol_Out_21,AltName_42,Company_23,Vol_InD_22,Vol_Out_22,AltName_43,Company_24,Vol_InD_23,Vol_Out_23,AltName_44,Company_25,Vol_InD_24,Vol_Out_24,AltName_45,Company_26,Vol_InD_25,Vol_Out_25,AltName_46,Company_27,Vol_InD_26,Vol_Out_26,AltName_47,Company_28,Vol_InD_27,Vol_Out_27,AltName_48,Company_29,Vol_InD_28,Vol_Out_28,AltName_49,Company_30,Vol_InD_29,Vol_Out_29,AltName_50,Company_31,Vol_InD_30,Vol_Out_30,AltName_51,Company_32,Vol_InD_31,Vol_Out_31,AltName_52,Company_33,Vol_InD_32,Vol_Out_32,AltName_53,Company_34,Vol_InD_33,Vol_Out_33,AltName_54,Company_35,Vol_InD_34,Vol_Out_34,AltName_55,Company_36,Vol_InD_35,Vol_Out_35,AltName_56,Company_37,Vol_InD_36,Vol_Out_36,AltName_57,Company_38,Vol_InD_37,Vol_Out_37,Total_In,Total_Out,Total
55,34100000000000,3412920088,"Layline Oil & Gas, LLC",PICKAWAY,39.58235285,-83.00053965,LAYLINE OIL AND GAS LLC,.,.,WAYNE,BURKE-MAY UNIT (SWIW # 2)     1,.,AI,SWD-july2018,.,"Ohio Energy Assets, Inc.",19214,0,.,"Ohio Energy Assets, Inc.",14555,0,.,"Ohio Energy Assets, Inc.",9120,0,.,"Ohio Energy Assets, Inc.",9316,0,.,"Ohio Energy Assets, Inc.",26142,0,.,"Ohio Energy Assets, Inc.",27787,0,.,"Ohio Energy Assets, Inc.",25184,0,.,"Ohio Energy Assets, Inc.",28412,0,.,"Ohio Energy Assets, Inc.",27175,0,.,"Ohio Energy Assets, Inc.",26380,0,.,"Ohio Energy Assets, Inc.",22181,0,.,"Ohio Energy Assets, Inc.",29035,0,.,"Ohio Energy Assets, Inc.",28281,0,Dart Oil,"Ohio Energy Assets, Inc.",30140,0,Dart Oil,"Ohio Energy Assets, Inc.",12854,0,dart oil,"Ohio Energy Assets, Inc.",26384,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,32891,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",35618,0,Dart Oil,"Ohio Energy Assets, Inc.",17346,0,.,"Dart Oil & Gas-Ohio, LLC",37414,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,30279,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",33232,0,.,"Dart Oil & Gas-Ohio, LLC",13112,0,.,"Dart Oil & Gas-Ohio, LLC",12464,0,.,"Dart Oil & Gas-Ohio, LLC",15928,0,.,"Dart Oil & Gas-Ohio, LLC",22118,0,.,"Dart Oil & Gas-Ohio, LLC",16607,0,.,"Dart Oil & Gas-Ohio, LLC",20517,0,.,"Dart Oil & Gas-Ohio, LLC",45070,0,.,"Dart Oil & Gas-Ohio, LLC",28670,0,.,"Dart Oil & Gas-Ohio, LLC",31676,0,.,"Dart Oil & Gas-Ohio, LLC",35042,0,.,"Dart Oil & Gas-Ohio, LLC/Layline Oil & Gas, LLC",37249,0,.,"Layline Oil & Gas, LLC",30756,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",24204,0,.,"Layline Oil & Gas, LLC",16170,0,.,"Layline Oil & Gas, LLC",0,0,950807,0,950807
56,34100000000000,3411524096,"Genesis Resources, LLC",MORGAN,39.60085924,-81.67699716,GENESIS RESOURCES LLC,.,.,CENTER,ULLMAN {SWIW#22}     1-B,.,AI,SWD-july2018,.,Bancequity Petroleum Corp.,3599,0,.,Bancequity Petroleum Corp.,2402,0,.,Bancequity Petroleum Corp.,2268,0,.,Bancequity Petroleum Corp.,1610,0,.,Bancequity Petroleum Corp.,2295,0,.,Bancequity Petroleum Corp.,3226,0,.,Bancequity Petroleum Corp.,3734,0,.,Bancequity Petroleum Corp.,3484,0,.,Bancequity Petroleum Corp.,2424,0,.,Bancequity Petroleum Corp.,1617,0,.,Bancequity Petroleum Corp.,1256,0,.,Bancequity Petroleum Corp.,1441,0,.,Bancequity Petroleum Corp.,1246,0,.,Bancequity Petroleum Corp.,813,0,.,Bancequity Petroleum Corp.,860,0,.,Bancequity Petroleum Corp.,886,0,.,Bancequity Petroleum Corp.,955,0,.,Bancequity Petroleum Corp.,683,0,.,Bancequity Petroleum Corp.,610,0,.,Bancequity Petroleum Corp.,546,0,.,Bancequity Petroleum Corp.,602,0,.,Bancequity Petroleum Corp.,341,0,.,Bancequity Petroleum Corp.,201,0,.,Bancequity Petroleum Corp.,225,0,.,Bancequity Petroleum Corp.,169,0,.,Bancequity Petroleum Corp.,145,0,.,Bancequity Petroleum Corp.,75,0,.,Bancequity Petroleum Corp.,255,0,.,Bancequity Petroleum Corp.,0,0,.,Bancequity Petroleum Corp.,82,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,.,"Genesis Resources, LLC",0,0,42640,0,42640
57,34100000000000,3412920251,"Chuck Henry Energy, LLC",PICKAWAY,39.60150373,-83.03444312,CHUCK HENRY ENERGY LLC,.,.,WAYNE,GIFFORD C & B (SWIW #10)     3,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Hocking Hills Energy Well Service,3939,0,.,Hocking Hills Energy Well Services,27445,0,.,Hocking Hills Energy Well Services,22530,0,.,"Chuck Henry Energy, LLC",0,0,.,"Chuck Henry Energy, LLC",0,0,.,"Chuck Henry Energy, LLC",28300,0,.,"Chuck Henry Energy, LLC",29987,0,.,"Chuck Henry Energy, LLC",24700,0,.,"Chuck Henry Energy, LLC",6860,0,.,"Chuck Henry Energy, LLC",17240,0,.,"Chuck Henry Energy, LLC",23000,0,.,"Chuck Henry Energy, LLC",14690,0,.,"Chuck Henry Energy, LLC",5120,0,.,"Chuck Henry Energy, LLC",0,0,.,"Chuck Henry Energy, LLC",0,0,203811,0,203811
58,34100000000000,3411522617,M & R Investments,MORGAN,39.6030229,-81.9583891,M & R INVESTMENTS OHIO LLC,.,.,UNION,"H.D.& L.DRAKE {SWIW#20}     ""B"" 1",.,AI,SWD-july2018,.,Deep Resources LLC,5870,0,.,Deep Resources LLC,5585,0,.,Deep Resources LLC,5250,0,.,Deep Resources LLC,3570,0,.,Deep Resources LLC,2100,0,.,Diversified Resources Ohio,2310,0,.,M & R Investments,3110,0,.,M&R Investments,2110,0,.,M&R Investments,4480,0,.,M&R Investments,2520,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,2380,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1750,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1820,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,2170,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1330,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,2170,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1540,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,2010,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1504,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,1330,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,Diversified Resources Ohio Inc./ Deep Resources,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,0,0,.,M & R Investments,580,0,.,M & R Investments,490,0,.,M & R Investments,910,0,.,M & R Investments,930,0,.,M & R Investments,1380,0,.,M & R Investments,1240,0,.,M & R Investments,1048,0,.,M & R Investments,2073,0,.,M & R Investments,0,0,.,M & R Investments,0,0,67760,0,67760
59,34100000000000,3412920224,Houghton Investments LLC,PICKAWAY,39.60551,-82.97842,HOUGHTON INVESTMENTS LLC,.,8/8/2018,JACKSON,RICHARDS-STEVENSON (SWIW #11),1,.,ODNR Injection scrape,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,Houghton Investments LLC,0,0,0,Houghton Investments LLC,0,0,0,Houghton Investments LLC,0,0,0,Houghton Investments LLC,2168,0,0,Houghton Investments LLC,6137,0,0,Houghton Investments LLC,16258,0,0,Houghton Investments LLC,0,0,0,Houghton Investments LLC,0,0,24563,0,24563
60,34100000000000,3412920105,Houghton Investments LLC,PICKAWAY,39.61585594,-83.04309392,HOUGHTON INVESTMENTS LLC,.,.,JACKSON,BJ-78 (SWIW #9)     1,.,AI,SWD-july2018,.,Houghton Investments LLC,8921,0,.,Houghton Investments LLC,10639,0,.,Houghton Investments LLC,6360,0,.,Houghton Investments LLC,11017,0,.,Houghton Investments LLC,5877,0,.,Houghton Investments LLC,5100,0,.,Houghton Investments LLC,4441,0,.,Houghton Investments LLC,5485,0,.,Houghton Investments LLC,5605,0,.,Houghton Investments LLC,4716,0,.,Houghton Investments LLC,3481,0,.,Houghton Investments LLC,6973,0,.,Houghton Investments LLC,4274,0,.,Houghton Investments LLC,5065,0,.,Houghton Investments LLC,2810,0,.,Houghton Investments LLC,6768,0,.,Houghton Investments LLC,16273,0,.,Houghton Investments LLC,28735,0,.,Houghton Investments LLC,14213,0,.,Houghton Investments LLC,42092,0,.,Houghton Investments LLC,46718,0,.,Houghton Investments LLC,40658,0,.,Houghton Investments LLC,39694,0,.,Houghton Investments LLC,19725,0,.,Houghton Investments LLC,7380,0,.,Houghton Investments LLC,11183,0,.,Houghton Investments LLC,2413,0,.,Houghton Investments LLC,3528,0,.,Houghton Investments LLC,4879,0,.,Houghton Investments LLC,4869,0,.,Houghton Investments LLC,7167,0,.,Houghton Investments LLC,6883,0,.,Houghton Investments LLC,8788,0,.,Houghton Investments LLC,9831,0,.,Houghton Investments LLC,6959,0,.,Houghton Investments LLC,9714,0,.,Houghton Investments LLC,0,0,.,Houghton Investments LLC,0,0,440988,0,440988
61,34100000000000,3412920194,Houghton Investments LLC,PICKAWAY,39.62354503,-83.03081672,HOUGHTON INVESTMENTS LLC,.,.,JACKSON,BJ 78 COMPANY(SWIW#7)     4,.,AI,SWD-july2018,.,Houghton Investments LLC,14185,0,.,Houghton Investments LLC,13276,0,.,Houghton Investments LLC,5217,0,.,Houghton Investments LLC,15684,0,.,Houghton Investments LLC,14926,0,.,Houghton Investments LLC,16929,0,.,Houghton Investments LLC,13793,0,.,Houghton Investments LLC,21060,0,.,Houghton Investments LLC,16798,0,.,Houghton Investments LLC,17455,0,.,Houghton Investments LLC,7309,0,.,Houghton Investments LLC,20517,0,.,Houghton Investments LLC,23226,0,.,Houghton Investments LLC,17196,0,.,Houghton Investments LLC,15764,0,.,Houghton Investments LLC,23396,0,.,Houghton Investments LLC,30068,0,.,Houghton Investments LLC,32106,0,.,Houghton Investments LLC,22095,0,.,Houghton Investments LLC,27986,0,.,Houghton Investments LLC,26450,0,.,Houghton Investments LLC,22209,0,.,Houghton Investments LLC,17541,0,.,Houghton Investments LLC,17573,0,.,Houghton Investments LLC,14965,0,.,Houghton Investments LLC,21065,0,.,Houghton Investments LLC,20581,0,.,Houghton Investments LLC,19861,0,.,Houghton Investments LLC,17895,0,.,Houghton Investments LLC,19192,0,.,Houghton Investments LLC,12178,0,.,Houghton Investments LLC,16299,0,.,Houghton Investments LLC,17640,0,.,Houghton Investments LLC,19690,0,.,Houghton Investments LLC,12690,0,.,Houghton Investments LLC,7086,0,.,Houghton Investments LLC,0,0,.,Houghton Investments LLC,0,0,681753,0,681753
62,34100000000000,3412920095,"Layline Oil & Gas, LLC",PICKAWAY,39.63395161,-82.96633932,LAYLINE OIL AND GAS LLC,.,.,JACKSON,WARNER-PRITCHARD UNIT {SWIW #3}     1,.,AI,SWD-july2018,.,"Ohio Energy Assets, Inc.",31585,0,.,"Ohio Energy Assets, Inc.",27767,0,.,"Ohio Energy Assets, Inc.",7590,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",28305,0,.,"Ohio Energy Assets, Inc.",8991,0,.,"Ohio Energy Assets, Inc.",16554,0,.,"Ohio Energy Assets, Inc.",27045,0,.,"Ohio Energy Assets, Inc.",22811,0,.,"Ohio Energy Assets, Inc.",23094,0,.,"Ohio Energy Assets, Inc.",22290,0,.,"Ohio Energy Assets, Inc.",23922,0,.,"Ohio Energy Assets, Inc.",23409,0,Dart Oil,"Ohio Energy Assets, Inc.",16265,0,Dart Oil,"Ohio Energy Assets, Inc.",10859,0,dart oil,"Ohio Energy Assets, Inc.",26196,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,27449,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",21618,0,,"Ohio Energy Assets, Inc.",15137,0,.,"Dart Oil & Gas-Ohio, LLC",21681,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,26095,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",20544,0,.,"Dart Oil & Gas-Ohio, LLC",19343,0,.,"Dart Oil & Gas-Ohio, LLC",27108,0,.,"Dart Oil & Gas-Ohio, LLC",20116,0,.,"Dart Oil & Gas-Ohio, LLC",6679,0,.,"Dart Oil & Gas-Ohio, LLC",20535,0,.,"Dart Oil & Gas-Ohio, LLC",27697,0,.,"Dart Oil & Gas-Ohio, LLC",28634,0,.,"Dart Oil & Gas-Ohio, LLC",22294,0,.,"Dart Oil & Gas-Ohio, LLC",16856,0,.,"Dart Oil & Gas-Ohio, LLC",28329,0,.,"Dart Oil & Gas-Ohio, LLC/Layline Oil & Gas , LLC",26099,0,.,"Layline Oil & Gas, LLC",23456,0,.,"Layline Oil & Gas, LLC",23667,0,.,"Layline Oil & Gas, LLC",23177,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,819807,0,819807
63,34100000000000,3412920125,"Layline Oil & Gas, LLC",PICKAWAY,39.63853234,-82.97421059,LAYLINE OIL AND GAS LLC,.,.,JACKSON,WARNER-JUSTUS UNIT {SWIW #4}     1,.,AI,SWD-july2018,.,"Ohio Energy Assets, Inc.",1104,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",19066,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",13506,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",1651,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",0,0,.,"Ohio Energy Assets, Inc.",0,0,Dart Oil,"Ohio Energy Assets, Inc.",0,0,Dart Oil,"Ohio Energy Assets, Inc.",0,0,dart oil,"Ohio Energy Assets, Inc.",0,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,0,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",0,0,Dart Oil,"Ohio Energy Assets, Inc.",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,"OHIO ENERGY ASSETS, INC.",DART OIL & GAS-OHIO,0,0,"OHIO ENERGY ASSETS, INC.","Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC",203,0,.,"Dart Oil & Gas-Ohio, LLC",0,0,.,"Dart Oil & Gas-Ohio, LLC/Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,.,"Layline Oil & Gas, LLC",0,0,35530,0,35530
64,34100000000000,3412123995,"FQ Energy Services, LLC",NOBLE,39.65388148,-81.4751572,FQ ENERGY SERVICES LLC,.,.,JACKSON,WARREN DRILLING CO (SWIW #6)     1,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,"Hunter Disposal, LLC",48603,165306,greenhunter/triad,"Hunter Disposal, LLC",43601,186528,.,"Hunter Disposal, LLC",189850,130212,.,"Hunter Disposal, LLC",266559,136158,.,"Hunter Disposal, LLC",195476,163321,.,"Hunter Disposal, LLC",190292,129733,.,"Hunter Disposal, LLC",166236,180263,.,"Hunter Disposal, LLC",97802,222837,.,"Hunter Disposal, LLC",47231,266288,.,"Hunter Disposal, LLC",83251,192989,.,"Hunter Disposal, LLC",121163,143224,.,"Hunter Disposal, LLC",176907,69052,.,"FQ Energy Services, LLC",0,0,"FQ Energy Services, LLC","FQ Energy Services, LLC",12337,3446,"FQ Energy Services, LLC","FQ Energy Services, LLC",143438,25965,.,"FQ Energy Services, LLC",142466,36218,.,"FQ Energy Services, LLC",127065,45062,.,"FQ Energy Services, LLC",126318,33106,.,"FQ Energy Services, LLC",81040,87910,.,"FQ Energy Services, LLC",95632,64194,.,"FQ Energy Services, LLC",122929,9968,.,"FQ Energy Services, LLC",93850,27755,.,"FQ Energy Services, LLC",121831,582,.,"FQ Energy Services, LLC",189925,2010,.,"FQ Energy Services, LLC",94449,12803,.,"FQ Energy Services, LLC",176283,807,.,"FQ Energy Services, LLC",0,0,.,"FQ Energy Services, LLC",0,0,3154534,2335737,5490271
65,34100000000000,3412124086,"FQ Energy Services, LLC",NOBLE,39.65685916,-81.48065475,FQ ENERGY SERVICES LLC,.,.,JACKSON,TRAVIS UNIT(SWIW #7)     200405,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,"FQ Energy Services, LLC",180419,20759,"FQ Energy Services, LLC","FQ Energy Services, LLC",66169,18481,"FQ Energy Services, LLC","FQ Energy Services, LLC",35593,6443,.,"FQ Energy Services, LLC",19932,5067,.,"FQ Energy Services, LLC",28141,9980,.,"FQ Energy Services, LLC",45945,12042,.,"FQ Energy Services, LLC",39341,42677,.,"FQ Energy Services, LLC",62817,42167,.,"FQ Energy Services, LLC",63969,5187,.,"FQ Energy Services, LLC",56127,16599,.,"FQ Energy Services, LLC",205527,981,.,"FQ Energy Services, LLC",0,0,.,"FQ Energy Services, LLC",21231,2878,.,"FQ Energy Services, LLC",86602,397,.,"FQ Energy Services, LLC",0,0,.,"FQ Energy Services, LLC",0,0,911813,183658,1095471
66,34100000000000,3412124250,Northwood Energy Corp.,NOBLE,39.66531082,-81.58914154,NORTHWOOD ENERGY CORP,.,.,SHARON,MORRIS W D (SWIW #9)     3,.,AI,SWD-july2018,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,Northwood Energy Corp.,13209,0,.,Northwood Energy Corp.,14032,0,.,Northwood Energy Corporation,20241,0,.,Northwood Energy Corporation,17762,156,.,Northwood Energy Corp.,16063,0,.,Northwood Energy Corp.,12608,0,.,Northwood Energy Corp.,13084,0,.,Northwood Energy Corp.,12782,0,.,Northwood Energy Corp.,10291,0,.,Northwood Energy Corp.,11502,0,.,Northwood Energy Corp.,11124,0,.,Northwood Energy Corp.,6158,164,.,Northwood Energy Corp.,8406,407,.,Northwood Energy Corp.,6963,244,.,Northwood Energy Corp.,10371,156,.,Northwood Energy Corp.,9029,77,.,Northwood Energy Corp.,6602,82,.,Northwood Energy Corp.,6099,71,.,Northwood Energy Corp.,7387,209,.,Northwood Energy Corp.,0,0,.,Northwood Energy Corp.,0,0,213713,1566,215279
67,34100000000000,3412722616,M & R Investments,PERRY,39.66748724,-82.30964898,M & R INVESTMENTS OHIO LLC,.,.,JACKSON,ADCOCK STANLEY (SWIW #9)     J-1,.,AI,SWD-july2018,.,Oxford Oil Company,2287,0,.,Oxford Oil Company,1506,0,.,Oxford Oil Company,1725,0,.,Oxford Oil Company,1612,0,.,Oxford Oil Company,2136,0,.,Oxford Oil Company,2142,0,.,Oxford Oil Company,1932,0,.,Oxford Oil Company,2363,0,.,Oxford Oil Company,2446,0,.,Oxford Oil Company,2351,0,.,Oxford Oil Company,1669,0,.,Oxford Oil Company,2193,0,.,Oxford Oil Company,2065,0,.,Oxford Oil Company,1795,0,Oxford,Eclipse Resources Ohio LLC,830,0,Eclipse,Oxford Oil Company,2280,0,ECLIPSE,Oxford Oil Company,2660,0,Eclipse Resources-Ohio LLC,Oxford Oil Company,1367,0,Oxford,Eclipse Resources Ohio LLC,1920,0,Eclipse,Oxford Oil Company,2930,0,ECLIPSE,Oxford Oil Company,1695,0,Eclipse Resources-Ohio LLC,Oxford Oil Company,1909,0,.,"Eclipse Resources-Ohio, LLC",1022,0,.,"Eclipse Resources-Ohio, LLC",140,0,M & R Investments,"Eclipse Resources-Ohio, LLC",940,0,M & R Investments,"Eclipse Resources-Ohio, LLC",155,0,.,M & R Investments,300,0,.,M & R Investments,250,0,.,M & R Investments,210,0,.,M & R Investments,300,0,.,M & R Investments,650,0,.,M & R Investments,985,0,.,M & R Investments,710,0,.,M & R Investments,612,0,.,M & R Investments,1476,0,.,M & R Investments,849,0,.,M & R Investments,0,0,.,M & R Investments,0,0,56684,0,56684
68,34100000000000,3412124636,"Williams Disposal, LLC",NOBLE,39.66890602,-81.32370005,WILLIAMS DISPOSAL LLC,.,8/8/2018 0:00,ELK,WILLIAMS (SWIW #10),1,.,ODNR Permit scrape,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,.,"Williams Disposal, LLC",0,0,.,"Williams Disposal, LLC",32851,0,.,"Williams Disposal, LLC",0,0,.,"Williams Disposal, LLC",0,0,32851,0,32851
69,34100000000000,3411522796,M & R Investments,MORGAN,39.71211984,-81.84389594,M & R INVESTMENTS OHIO LLC,.,.,BLOOM,APPERSON {SWIW#8}     2,.,AI,SWD-july2018,.,Resource Well Service,3596,0,.,Resource Well Service,4377,0,.,Resource Well Service,3070,0,.,Resource Well Service,3995,0,.,Resource Well Service,3741,0,.,Resource Well Service,3872,0,.,Resource Well Service,0,0,.,Resource Well Service,3320,0,.,Resource Well Service,3326,0,.,Resource Well Service,3202,0,.,Resource Well Service,2258,0,.,Resource Well Service,3014,0,.,Resource Well Service,2324,0,.,Resource Well Service,2310,0,.,Resource Well Service,2233,0,.,Resource Well Service,2370,0,.,Resource Well Service,3087,0,.,Resource Well Service,3325,0,.,Resource Well Service,2316,0,.,Resource Well Service,2706,0,.,Resource Well Service,2417,0,.,Resource Well Service,2212,0,.,Resource Well Service,1209,0,.,.,0,0,.,Resource Well Service,1086,0,.,Resource Well Service,298,0,.,Resource Well Service,1544,0,.,Resource Well Service,1227,0,.,Resource Well Service,1581,0,.,M & R Investments,1983,0,.,M & R Investments,1293,0,.,M & R Investments,1467,0,.,M & R Investments,2103,0,.,M & R Investments,2857,0,.,M & R Investments,3465,0,.,M & R Investments,3711,0,.,M & R Investments,0,0,.,M & R Investments,0,0,94377,0,94377
