site,date,Sampling time,Watershed,Location,Samplers,rainfall,Flow rate (0-5),turbidity,temp,tds,cond,sal,Notes
6,03/24/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, CH, KM",0.12,3,2,10.7,391,555,266,
6,04/08/22,,Headwaters Alum Creek,Intermediate 2,"CH, KM",0.21,3,0,9.4,602,859,419,
6,04/22/22,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0.29,3,3,12.9,380,547,262,
6,05/06/22,11:15:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, KM",0.46,5,3,13.4,277,393,188,
6,05/20/22,11:56:00 AM,Headwaters Alum Creek,Intermediate 2,"CO, KM",0.3,5,3,19.1,164,232,107,
6,06/09/22,11:31:00 AM,Headwaters Alum Creek,Intermediate 2,"SB, JP",0.57,3,3,19.3,318,456,218,
6,06/27/22,11:51:00 AM,Headwaters Alum Creek,Intermediate 2,"BL, KM",0,3,2,21.4,651,925,455,
6,07/18/22,12:00:00 PM,Headwaters Alum Creek,Intermediate 2,"BL, CH",0.18,4,2,20.8,497,707,343,
6,07/29/22,12:20:00 PM,Headwaters Alum Creek,Intermediate 2,"KM, CO",0.28,2,0,25.4,502,721,347,
7,08/13/21,,Headwaters Alum Creek,Intermediate 1,"CH, BL, KM, SB, JP",0.25,2,0,26.9,502,727,352,
7,09/03/21,12:25:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, BL, SB",0.2,3,1,21.1,471,678,326,
7,09/17/21,12:45:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.02,2,1,25.2,548,782,371,
7,10/01/21,12:24:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM, BK",0,3,0,19.6,501,710,347,
7,10/15/21,12:06:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM, CO",0,3,0,21.1,581,827,399,
7,11/05/21,12:30:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM, WP",0,3,0,8.6,518,738,357,
7,11/19/21,12:50:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.23,3,3,6.8,353,504,240,
7,12/05/21,,Headwaters Alum Creek,Intermediate 1,"CH, JP",0.03,3,0,5.2,489,693,330,
7,12/17/21,,Headwaters Alum Creek,Intermediate 1,"CH, SB",0,3,1,6.1,482,688,333,
7,12/30/21,,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.8,3,2,8.3,311,450,214,
7,01/14/22,12:40:00 PM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0,3,0,2,484,684,338,
7,01/28/22,01:45:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, SB, KM",0,3,,2.7,832,1220,593,
7,02/11/22,11:46:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.01,3,0,4.8,,755,356,
7,02/26/22,03:05:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM",0.85,3,0,1.4,319,315,,
7,03/11/22,11:10:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.01,3,0,14.3,380,534,262,
7,03/24/22,12:30:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, CH, KM",0.12,3,3,11.1,380,541,261,
7,04/08/22,12:50:00 PM,Headwaters Alum Creek,Intermediate 1,"CH, KM",0.21,3,0,10,605,885,422,
7,04/22/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0.29,3,3,12.7,392,557,269,
7,05/06/22,11:30:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, KM",0.46,4,3,13.4,253,361,170,
7,05/20/22,12:12:00 PM,Headwaters Alum Creek,Intermediate 1,"CO, KM",0.3,4,3,19.3,143,204,94,
7,06/09/22,11:42:00 AM,Headwaters Alum Creek,Intermediate 1,"SB, JP",0.57,3,3,20,343,486,234,
7,06/27/22,12:03:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, KM",0,3,2,20.9,639,913,444,
7,07/18/22,12:15:00 PM,Headwaters Alum Creek,Intermediate 1,"BL, CH",0.18,3,3,22,525,754,365,
7,07/29/22,12:33:00 PM,Headwaters Alum Creek,Intermediate 1,"KM, CO",0.28,2,0,24.6,520,746,360,
8,08/13/21,,Headwaters Big Walnut Creek ,Downstream,"CH, BL, KM, SB, JP",0.25,2,1,27.9,659,937,458,
8,09/03/21,12:45:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, BL, SB",0.2,2,1,23.8,653,943,458,
8,09/17/21,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.02,1,1,24.7,729,1049,513,
8,10/01/21,12:55:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM, BK",0,1,1,19.7,629,893,434,
8,10/15/21,12:25:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM, CO",0,2,1,22.1,683,990,481,
8,11/05/21,12:50:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM, WP",0,3,2,10,599,860,418,
8,11/19/21,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.23,3,2,7.9,473,684,328,
8,12/05/21,01:15:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, JP",0.03,3,0,6.1,539,779,376,
8,12/17/21,,Headwaters Big Walnut Creek ,Downstream,"CH, SB",0,4,3,7.3,520,743,358,
8,12/30/21,12:30:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.8,4,2,9.1,343,485,235,
8,01/14/22,01:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0,3,1,3.1,464,665,316,
8,01/28/22,02:00:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, SB, KM",0,3,,2.7,527,746,368,
8,02/11/22,12:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.01,2,0,3.8,422,752,376,snowy fields with patches of ice in water
8,02/26/22,03:25:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM",0.85,3,1,2.6,334,474,335,
8,03/11/22,12:10:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.01,3,0,10.8,403,568,277,
8,03/24/22,12:45:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, CH, KM",0.12,3,2,11.3,375,534,254,
8,04/08/22,02:17:00 PM,Headwaters Big Walnut Creek ,Downstream,"CH, KM",0.21,3,1,11.7,576,822,395,
8,04/22/22,12:30:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0.29,3,1,15.2,508,726,350,
8,05/06/22,01:00:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, KM",0.46,4,3,14.8,277,409,194,
8,05/20/22,12:29:00 PM,Headwaters Big Walnut Creek ,Downstream,"CO, KM",0.3,4,3,20.2,261,378,182,
8,06/09/22,12:05:00 PM,Headwaters Big Walnut Creek ,Downstream,"SB, JP",0.57,3,2,20.9,502,711,342,
8,06/27/22,12:17:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, KM",0,2,1,24.8,920,1317,653,
8,07/18/22,12:35:00 PM,Headwaters Big Walnut Creek ,Downstream,"BL, CH",0.18,3,2,22.9,443,629,306,
8,07/29/22,01:48:00 PM,Headwaters Big Walnut Creek ,Downstream,"KM, CO",0.28,2,1,28.7,810,1161,570,
9,08/13/21,,Little Walnut Creek ,Downstream,"CH, BL, KM, SB, JP",1.11,3,0,25.4,1115,1612,798,
9,09/03/21,01:20:00 PM,Little Walnut Creek ,Downstream,"CH, BL, SB",1.56,3,0,20.1,761,1089,534,
9,09/17/21,02:00:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.13,3,0,24.1,1189,1696,854,
9,10/01/21,12:24:00 PM,Little Walnut Creek ,Downstream,"CH, KM, BK",0,3,0,21,1075,1606,805,
9,10/15/21,12:06:00 PM,Little Walnut Creek ,Downstream,"CH, KM, CO",0,3,0,18.2,1105,1582,791,
9,11/05/21,12:30:00 PM,Little Walnut Creek ,Downstream,"BL, KM, WP",0,3,0,12.2,959,1372,679,
9,11/19/21,01:40:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.38,3,1,8.3,571,816,398,
9,12/05/21,01:49:00 PM,Little Walnut Creek ,Downstream,"CH, JP",0,3,1,7.5,910,1287,647,
9,12/17/21,,Little Walnut Creek ,Downstream,"CH, SB",0,3,1,8.5,777,1135,554,
9,12/30/21,01:15:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.75,3,2,9.3,319,451,213,
9,01/14/22,,Little Walnut Creek ,Downstream,"SB, KM",0,2,0,4.4,807,1162,569,
9,01/28/22,02:30:00 PM,Little Walnut Creek ,Downstream,"CH, SB, KM",0,3,,4.5,1001,1423,684,
9,02/11/22,12:50:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0,3,0,4.5,553,788,426,
9,02/26/22,04:25:00 PM,Little Walnut Creek ,Downstream,"CH, KM",0.99,3,1,3.1,469,669,323,
9,03/11/22,12:55:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.01,3,0,10.9,666,955,446,
9,03/24/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, CH, KM",0.14,3,1,12.4,595,878,418,
9,04/08/22,02:57:00 PM,Little Walnut Creek ,Downstream,"CH, KM",0.32,3,1,12,1019,1517,762,
9,04/22/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0.3,3,1,14.7,779,1131,553,
9,05/06/22,01:38:00 PM,Little Walnut Creek ,Downstream,"SB, KM",0.77,4,3,14.8,233,333,159,
9,05/20/22,01:15:00 PM,Little Walnut Creek ,Downstream,"CO, KM",0.23,3,0,20.7,1099,1571,780,
9,06/09/22,12:47:00 PM,Little Walnut Creek ,Downstream,"SB, JP",1.41,3,3,23,190,275,130,
9,06/27/22,01:15:00 PM,Little Walnut Creek ,Downstream,"BL, KM",0,3,1,19.7,994,1420,707,
9,07/18/22,01:20:00 PM,Little Walnut Creek ,Downstream,"BL, CH",3.32,4,3,22.2,273,391,186,
9,07/29/22,02:45:00 PM,Little Walnut Creek ,Downstream,"KM, CO",0.14,2,0,24,994,1420,707,
